Momentum,Regularization,Alpha,B,F,epoch,RMSE
0.6,0.001,0.1,5,8,10,1.1448747763901261
0.6,0.001,0.1,5,10,6,1.1412975821265523
0.6,0.001,0.1,10,6,2,1.140405686605386
0.6,0.001,0.1,10,8,14,1.1339868867371641
0.6,0.001,0.1,10,10,6,1.1371644227632427
0.6,0.001,0.1,20,6,16,1.1350295925687222
0.6,0.001,0.1,20,8,8,1.1362936031501585
0.6,0.001,0.1,20,10,6,1.1419016009917899
0.6,0.01,0.01,5,6,27,1.1431995662082117
0.6,0.01,0.01,5,8,28,1.1430719795337805
0.6,0.01,0.01,5,10,16,1.1407411831981633
0.6,0.01,0.01,10,6,23,1.1486303469865586
0.6,0.01,0.01,10,8,28,1.1474037723101111
0.6,0.01,0.01,10,10,19,1.1444461969656705
0.6,0.01,0.01,20,6,21,1.1496741204400149
0.6,0.01,0.01,20,8,14,1.1472977291660238
0.6,0.01,0.01,20,10,15,1.1419171677068019
0.6,0.01,0.03,5,6,17,1.1383693935730614
0.6,0.01,0.03,5,8,8,1.1354152144596861
0.6,0.01,0.03,5,10,16,1.1458762352069307
0.6,0.01,0.03,10,6,7,1.1379208740189188
0.6,0.01,0.03,10,8,27,1.1427310217347937
0.6,0.01,0.03,10,10,12,1.1386863626132127
0.6,0.01,0.03,20,6,24,1.1375610669958724
0.6,0.01,0.03,20,8,8,1.1384314365951949
0.6,0.01,0.03,20,10,8,1.1421960414816861
0.6,0.01,0.1,5,6,19,1.145308675595643
0.6,0.01,0.1,5,8,16,1.1404321375353463
0.6,0.01,0.1,5,10,6,1.1419866799575344
0.6,0.01,0.1,10,6,13,1.1448606297076178
0.6,0.01,0.1,10,8,11,1.1342275198983283
0.6,0.01,0.1,10,10,10,1.1455079278947289
0.6,0.01,0.1,20,6,17,1.1421801761356549
0.6,0.01,0.1,20,8,16,1.1269357386721108
0.6,0.01,0.1,20,10,19,1.1474088660997803
0.75,1e-05,0.01,5,6,19,1.1495329631885074
0.75,1e-05,0.01,5,8,29,1.1350754086981663
0.75,1e-05,0.01,5,10,26,1.1369046446445978
0.75,1e-05,0.01,10,6,26,1.1467628403739689
0.75,1e-05,0.01,10,8,27,1.137975691950359
0.75,1e-05,0.01,10,10,16,1.1405400136394601
0.75,1e-05,0.01,20,6,29,1.1510294408953949
0.75,1e-05,0.01,20,8,19,1.136123935188363
0.75,1e-05,0.01,20,10,15,1.1408819776690837
0.75,1e-05,0.03,5,6,25,1.1396503740937505
0.75,1e-05,0.03,5,8,8,1.143084506500363
0.75,1e-05,0.03,5,10,12,1.1434382864072583
0.75,1e-05,0.03,10,6,8,1.1402568361973355
0.75,1e-05,0.03,10,8,6,1.1443175228762121
0.75,1e-05,0.03,10,10,27,1.1453126301712302
0.75,1e-05,0.03,20,6,28,1.1385902155394101
0.75,1e-05,0.03,20,8,13,1.1451037045583137
0.75,1e-05,0.03,20,10,5,1.1351409122722929
0.75,1e-05,0.1,5,6,19,1.1399527385535411
0.75,1e-05,0.1,5,8,24,1.1445567008242483
0.75,1e-05,0.1,5,10,11,1.1406953629479428
0.75,1e-05,0.1,10,6,15,1.1388135995977193
0.75,1e-05,0.1,10,8,10,1.1414848035527039
0.75,1e-05,0.1,10,10,9,1.1469899216677673
0.75,1e-05,0.1,20,6,9,1.1398941076976479
0.75,1e-05,0.1,20,8,10,1.140395656100325
0.75,1e-05,0.1,20,10,14,1.1450773642180154
0.75,0.0001,0.01,5,6,16,1.1409263329872517
0.75,0.0001,0.01,5,8,26,1.1425567690045764
0.75,0.0001,0.01,5,10,25,1.1411285450862987
0.75,0.0001,0.01,10,6,24,1.1475926225279567
0.75,0.0001,0.01,10,8,26,1.14325270393998
0.75,0.0001,0.01,10,10,19,1.1428569825614099
0.75,0.0001,0.01,20,6,19,1.1357276552840325
0.75,0.0001,0.01,20,8,29,1.1346723511832411
0.75,0.0001,0.01,20,10,21,1.1450886084419414
