Momentum,Regularization,Alpha,B,F,epoch,RMSE
0.6,0.0001,0.01,10,8,27,1.142907984
0.9,0.001,0.01,10,10,17,1.1429339
0.75,1.00E-05,0.03,5,8,8,1.142937261
0.75,1.00E-05,0.01,20,8,20,1.142942886
0.6,0.0003,0.01,10,6,8,1.142979078
0.75,0.0003,0.01,5,10,8,1.143003701
0.6,1.00E-05,0.01,5,8,28,1.143010927
0.75,0.0001,0.03,5,6,11,1.143014513
0.75,0.01,0.01,5,6,6,1.143033215
0.6,0.01,0.03,5,6,2,1.143033647
0.9,0.0001,0.01,10,8,24,1.143135486
0.9,0.0001,0.01,5,10,16,1.143213876
0.9,1.00E-05,0.03,20,10,8,1.143219422
0.75,0.001,0.03,10,8,4,1.143230523
0.9,0.0003,0.03,20,6,4,1.143233059
0.6,0.01,0.01,5,6,26,1.143252222
0.6,0.0001,0.01,20,10,7,1.143254583
0.9,1.00E-05,0.01,10,6,22,1.143278286
0.75,0.01,0.03,10,10,11,1.143309056
0.6,0.001,0.01,20,10,22,1.143324721
0.75,0.001,0.01,20,8,25,1.14332614
0.6,0.001,0.03,5,10,9,1.143510593
0.6,0.0001,0.01,5,6,29,1.143539709
0.9,0.0003,0.01,10,10,17,1.143597886
0.6,0.001,0.03,10,8,12,1.143624792
0.9,0.01,0.03,5,6,9,1.14363345
0.9,0.0001,0.1,5,8,1,1.143647992
0.6,0.0001,0.03,10,6,3,1.143672652
0.6,0.001,0.01,20,8,25,1.143682769
0.6,0.01,0.01,10,8,3,1.143683382
0.6,0.001,0.03,5,8,10,1.143702179
0.9,0.0001,0.03,20,10,3,1.143797661
0.9,0.0003,0.01,5,10,17,1.143822017
0.75,0.0001,0.01,5,6,27,1.143926349
0.75,0.001,0.01,10,6,10,1.143927707
0.6,1.00E-05,0.03,10,8,10,1.143993075
0.9,0.01,0.01,5,6,28,1.144042584
0.75,0.01,0.01,10,8,24,1.14408101
0.9,0.0001,0.03,5,10,10,1.144164027
0.75,0.0001,0.01,10,6,27,1.144166472
0.6,0.0001,0.01,10,6,8,1.144173658
0.75,0.0003,0.1,5,8,5,1.144211681
0.9,0.001,0.03,10,8,8,1.144223331
0.75,0.001,0.01,10,10,17,1.144285846
0.75,1.00E-05,0.01,5,6,24,1.144371366
0.9,1.00E-05,0.01,5,8,25,1.144403521
0.6,0.01,0.01,20,6,12,1.144427331
0.9,1.00E-05,0.03,5,10,11,1.144435769
0.75,1.00E-05,0.01,10,6,5,1.144452104
0.9,1.00E-05,0.03,5,8,9,1.144455178
0.9,0.0001,0.01,20,10,7,1.144457549
0.9,0.001,0.03,5,10,3,1.1444709
0.75,0.01,0.03,10,6,13,1.144554839
0.75,0.001,0.1,10,10,3,1.144560107
0.6,0.0001,0.03,10,8,2,1.144571076
0.9,0.0003,0.01,5,8,22,1.144576317
0.9,0.01,0.01,10,8,21,1.144626461
0.6,0.001,0.01,20,6,29,1.144669327
0.9,0.0001,0.01,10,10,16,1.14469518
0.9,1.00E-05,0.01,20,6,8,1.144864602
0.6,0.001,0.03,5,6,11,1.144874208
0.75,0.0003,0.01,10,10,3,1.144942903
0.9,0.01,0.03,20,8,8,1.144950709
0.9,0.0001,0.03,20,6,11,1.145001318
0.75,0.0001,0.01,5,10,4,1.145020919
0.9,0.01,0.1,20,6,1,1.145021603
0.9,0.0001,0.01,20,8,22,1.145125898
0.6,0.01,0.03,10,6,4,1.14518039
0.9,0.0003,0.03,5,6,2,1.145202887
0.6,0.01,0.1,10,6,1,1.145254444
0.75,0.0003,0.01,10,6,25,1.14530158
0.75,0.0001,0.03,5,8,11,1.145303364
0.9,0.01,0.01,5,8,7,1.145330595
0.9,0.0001,0.03,10,6,4,1.145512291
0.9,0.001,0.01,20,8,8,1.145528213
0.6,0.0001,0.03,20,8,3,1.145556258
0.75,0.001,0.03,5,8,11,1.145558157
0.6,0.0001,0.03,5,6,3,1.145558683
0.75,0.001,0.01,20,10,23,1.145576123
0.6,0.0003,0.1,20,6,6,1.145660864
0.75,1.00E-05,0.1,5,6,4,1.145743258
0.6,0.001,0.01,5,8,9,1.145771286
0.6,1.00E-05,0.01,20,10,8,1.14578094
0.6,0.01,0.1,20,6,2,1.145857377
0.75,0.0001,0.03,20,10,3,1.145953913
0.6,1.00E-05,0.03,10,6,4,1.146046213
0.75,0.0003,0.01,5,6,26,1.146064161
0.75,1.00E-05,0.03,10,8,2,1.146108365
0.75,1.00E-05,0.1,10,10,3,1.146167785
0.75,0.001,0.01,10,8,8,1.14636102
0.9,1.00E-05,0.03,10,10,10,1.146393872
0.9,1.00E-05,0.03,20,6,9,1.146401005
0.75,0.0003,0.03,10,8,10,1.146413815
0.9,0.0001,0.03,5,6,3,1.146428884
0.9,0.0003,0.01,5,6,5,1.146429023
0.6,0.0001,0.03,10,10,12,1.146448611
0.6,0.0003,0.03,10,10,3,1.146452293
0.6,1.00E-05,0.03,5,6,12,1.146459901
0.6,0.0001,0.03,5,8,2,1.14649537
0.75,0.001,0.03,20,6,12,1.14653761
0.9,0.01,0.01,20,10,6,1.146671156
0.9,1.00E-05,0.01,5,10,5,1.146689374
0.9,0.01,0.03,5,10,8,1.14681313
0.75,0.01,0.03,10,8,9,1.146817439
0.75,0.01,0.01,20,8,27,1.146820545
0.6,1.00E-05,0.03,20,10,4,1.146893119
0.75,0.0003,0.03,5,8,4,1.1469316
0.6,0.0003,0.03,20,10,3,1.147048354
0.9,0.0003,0.03,10,10,7,1.14707106
0.6,1.00E-05,0.01,20,6,9,1.147072107
0.6,0.01,0.03,20,6,11,1.147077114
0.6,0.0003,0.03,5,10,9,1.147137752
0.6,0.0003,0.03,5,8,10,1.147204042
0.6,0.0003,0.03,20,6,3,1.147274792
0.9,0.001,0.03,20,6,4,1.147320604
0.6,1.00E-05,0.03,5,10,8,1.147397329
0.6,0.01,0.01,20,8,23,1.14739762
0.9,0.001,0.01,10,8,24,1.147442101
0.75,0.0003,0.01,20,8,26,1.147443716
0.6,0.01,0.03,10,8,2,1.14745654
0.6,1.00E-05,0.1,20,6,5,1.147543785
0.6,0.01,0.03,5,10,8,1.147551547
0.9,0.0003,0.1,5,6,4,1.147562193
0.9,0.0003,0.03,5,10,9,1.147604837
0.75,0.0001,0.03,20,6,10,1.147795603
0.9,0.001,0.03,5,8,7,1.147798266
0.6,0.001,0.03,10,10,2,1.147904796
0.9,0.0001,0.1,5,6,4,1.148039826
0.9,0.01,0.01,5,10,6,1.148045709
0.75,0.001,0.1,5,6,4,1.148081821
0.75,0.0003,0.03,20,10,3,1.148108665
0.75,0.001,0.03,5,10,10,1.148166007
0.9,0.0001,0.01,20,6,10,1.148182044
0.6,0.01,0.03,20,8,11,1.148405351
0.9,0.0003,0.03,10,6,4,1.148479763
0.9,0.0001,0.03,10,10,3,1.148525096
